,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD,Popularity,Popularity_Normalized
616,2017-08-21,BTCUSD,4078.24,4116.97,3996.0,4005.7,5048.4,20418335.05,62.45833333333334,6245.833333333334
617,2017-08-20,BTCUSD,4179.73,4198.0,4066.0,4078.24,4304.45,17709710.26,62.58333333333334,6258.333333333334
618,2017-08-19,BTCUSD,4141.0,4211.68,4002.64,4179.73,5120.13,21101179.82,67.625,6762.5
619,2017-08-18,BTCUSD,4291.0,4355.0,3980.0,4141.0,9720.65,40784749.51,72.25,7225.0
620,2017-08-17,BTCUSD,4388.0,4479.0,4200.0,4291.0,7616.52,33103410.06,70.91666666666667,7091.666666666667
621,2017-08-16,BTCUSD,4172.2,4399.0,3950.0,4388.0,7585.76,31764113.38,73.70833333333333,7370.833333333333
622,2017-08-15,BTCUSD,4355.66,4484.29,3821.0,4172.2,12321.06,51121659.55,87.0,8700.0
623,2017-08-14,BTCUSD,4084.0,4423.0,3970.0,4355.66,9744.83,41057290.04,87.91666666666669,8791.666666666668
624,2017-08-13,BTCUSD,3884.63,4232.71,3841.47,4084.0,11488.27,46409792.42,80.79166666666667,8079.166666666667
625,2017-08-12,BTCUSD,3670.0,3975.0,3637.34,3884.63,8277.38,31617952.03,63.20833333333334,6320.833333333334
626,2017-08-11,BTCUSD,3433.99,3735.2,3425.01,3670.0,5713.92,20290664.87,55.91666666666666,5591.666666666666
627,2017-08-10,BTCUSD,3371.88,3470.0,3340.0,3433.99,3990.02,13661441.91,51.91666666666666,5191.666666666666
628,2017-08-09,BTCUSD,3430.52,3444.9,3252.0,3371.88,6127.38,20553268.74,55.83333333333334,5583.333333333334
629,2017-08-08,BTCUSD,3395.0,3492.0,3350.0,3430.52,7422.97,25453557.09,62.96,6296.0
630,2017-08-07,BTCUSD,3235.03,3447.89,3191.0,3395.0,6361.52,21177045.0,51.375,5137.5
631,2017-08-06,BTCUSD,3256.31,3299.1,3177.77,3235.03,5404.91,17539147.16,45.83333333333334,4583.333333333334
632,2017-08-05,BTCUSD,2875.97,3350.0,2870.0,3256.31,12826.67,40630080.42,54.41666666666666,5441.666666666666
633,2017-08-04,BTCUSD,2797.03,2888.2,2771.01,2875.97,5938.84,16872848.09,42.5,4250.0
634,2017-08-03,BTCUSD,2700.8,2808.88,2697.7,2797.03,6048.48,16627456.61,46.70833333333334,4670.833333333334
635,2017-08-02,BTCUSD,2727.03,2761.51,2650.0,2700.8,6540.45,17719275.97,67.08333333333333,6708.333333333333
