date,bitcoin
2016-02-05,68.41666666666667
2016-02-06,67.25
2016-02-07,67.95833333333333
2016-02-08,67.45833333333333
2016-02-09,75.56
2016-02-10,76.45833333333333
2016-02-11,77.29166666666667
2016-02-12,76.16666666666667
2016-02-13,72.79166666666667
2016-02-14,78.125
2016-02-15,83.33333333333333
2016-02-16,67.04
2016-02-17,66.875
2016-02-18,77.45833333333333
2016-02-19,69.91666666666667
2016-02-20,66.45833333333333
2016-02-21,66.70833333333333
2016-02-22,66.16666666666667
2016-02-23,80.16
2016-02-24,77.0
2016-02-25,77.375
2016-02-26,74.54166666666667
2016-02-27,74.125
2016-02-28,71.54166666666667
2016-02-29,73.08333333333333
2016-03-01,83.76
2016-03-02,79.54166666666667
2016-03-03,87.875
2016-03-04,82.16666666666667
2016-03-05,84.79166666666667
2016-03-06,78.29166666666667
2016-03-07,82.0
2016-03-08,71.2
2016-03-09,67.5
2016-03-10,67.33333333333333
2016-03-11,67.375
2016-03-12,64.58333333333333
2016-03-13,65.29166666666667
2016-03-14,71.0
2016-03-15,82.08
2016-03-16,78.79166666666667
2016-03-17,78.0
2016-03-18,79.0
2016-03-19,72.375
2016-03-20,73.33333333333333
2016-03-21,77.375
2016-03-22,73.76
2016-03-23,71.08333333333333
2016-03-24,70.0
2016-03-25,67.95833333333333
2016-03-26,65.83333333333333
2016-03-27,68.70833333333333
2016-03-28,32.958333333333336
2016-03-29,73.48
2016-03-30,77.375
2016-03-31,76.83333333333333
2016-04-01,72.375
2016-04-02,70.79166666666667
2016-04-03,72.20833333333333
2016-04-04,72.66666666666667
2016-04-05,76.48
2016-04-06,76.54166666666667
2016-04-07,76.625
2016-04-08,75.75
2016-04-09,71.66666666666667
2016-04-10,74.45833333333333
2016-04-11,80.91666666666667
2016-04-12,76.68
2016-04-13,72.58333333333333
2016-04-14,72.16666666666667
2016-04-15,69.66666666666667
2016-04-16,68.04166666666667
2016-04-17,67.25
2016-04-18,69.54166666666667
2016-04-19,43.64
2016-04-20,43.416666666666664
2016-04-21,47.708333333333336
2016-04-22,48.375
2016-04-23,43.625
2016-04-24,47.041666666666664
2016-04-25,49.25
2016-04-26,24.48
2016-04-27,22.708333333333332
2016-04-28,24.75
2016-04-29,22.0
2016-04-30,20.416666666666668
2016-05-01,20.5
2016-05-02,61.125
2016-05-03,71.6
2016-05-04,48.0
2016-05-05,50.083333333333336
2016-05-06,46.333333333333336
2016-05-07,40.75
2016-05-08,40.583333333333336
2016-05-09,42.458333333333336
2016-05-10,81.88
2016-05-11,79.04166666666667
2016-05-12,76.83333333333333
2016-05-13,72.08333333333333
2016-05-14,67.95833333333333
2016-05-15,67.91666666666667
2016-05-16,71.16666666666667
2016-05-17,77.32
2016-05-18,77.33333333333333
2016-05-19,83.0
2016-05-20,78.75
2016-05-21,70.625
2016-05-22,72.125
2016-05-23,75.04166666666667
2016-05-24,53.76
2016-05-25,52.416666666666664
2016-05-26,53.041666666666664
2016-05-27,59.833333333333336
2016-05-28,68.08333333333333
2016-05-29,75.70833333333333
2016-05-30,78.83333333333333
2016-05-31,81.24
2016-06-01,73.54166666666667
2016-06-02,67.25
2016-06-03,72.375
2016-06-04,73.04166666666667
2016-06-05,69.58333333333333
2016-06-06,72.20833333333333
2016-06-07,55.92
2016-06-08,51.875
2016-06-09,50.875
2016-06-10,48.5
2016-06-11,48.041666666666664
2016-06-12,73.83333333333333
2016-06-13,86.79166666666667
2016-06-14,72.68
2016-06-15,62.166666666666664
2016-06-16,79.08333333333333
2016-06-17,77.70833333333333
2016-06-18,67.04166666666667
2016-06-19,62.916666666666664
2016-06-20,65.16666666666667
2016-06-21,54.88
2016-06-22,47.25
2016-06-23,51.208333333333336
2016-06-24,70.125
2016-06-25,48.916666666666664
2016-06-26,42.625
2016-06-27,43.875
2016-06-28,82.48
2016-06-29,81.5
2016-06-30,80.75
2016-07-01,79.95833333333333
2016-07-02,75.29166666666667
2016-07-03,78.125
2016-07-04,76.04166666666667
2016-07-05,51.44
2016-07-06,49.375
2016-07-07,53.083333333333336
2016-07-08,51.875
2016-07-09,64.5
2016-07-10,54.583333333333336
2016-07-11,50.208333333333336
2016-07-12,84.28
2016-07-13,84.75
2016-07-14,80.125
2016-07-15,74.70833333333333
2016-07-16,71.25
2016-07-17,74.33333333333333
2016-07-18,76.95833333333333
2016-07-19,85.28
2016-07-20,82.25
2016-07-21,80.875
2016-07-22,78.95833333333333
2016-07-23,74.70833333333333
2016-07-24,77.125
2016-07-25,79.16666666666667
2016-07-26,52.68
2016-07-27,54.666666666666664
2016-07-28,49.333333333333336
2016-07-29,47.333333333333336
2016-07-30,45.791666666666664
2016-07-31,48.208333333333336
2016-08-01,52.458333333333336
2016-08-02,47.76
2016-08-03,78.16666666666667
2016-08-04,54.208333333333336
2016-08-05,43.333333333333336
2016-08-06,37.666666666666664
2016-08-07,38.583333333333336
2016-08-08,40.291666666666664
2016-08-09,86.92
2016-08-10,82.95833333333333
2016-08-11,81.25
2016-08-12,80.79166666666667
2016-08-13,74.54166666666667
2016-08-14,75.66666666666667
2016-08-15,82.79166666666667
2016-08-16,82.76
2016-08-17,79.75
2016-08-18,82.16666666666667
2016-08-19,79.0
2016-08-20,76.33333333333333
